date,code,open,high,low,close,volume,amount,pctChg
2013-10-18,sh.000300,2472.2670,2483.1310,2407.7770,2426.0540,40974873500,395222469668.0000,-1.719824
2013-10-25,sh.000300,2431.9150,2474.3720,2353.9930,2368.5590,40878918200,380127308015.0000,-2.369898
2013-11-01,sh.000300,2372.5710,2408.6160,2327.9040,2384.9600,40758483700,352292631716.0000,0.692446
2013-11-08,sh.000300,2397.2100,2404.8960,2306.0410,2307.9450,28626986700,264939454284.0000,-3.229195
2013-11-15,sh.000300,2305.9400,2377.2110,2279.0060,2350.7340,30197796000,280697297938.0000,1.853987
2013-11-22,sh.000300,2367.8830,2435.4270,2361.0380,2397.9620,42368208200,408448611132.0000,2.009075
2013-11-29,sh.000300,2385.7840,2460.5560,2380.4120,2438.9440,35308883800,336650064334.0000,1.709035
2013-12-06,sh.000300,2423.9690,2486.6400,2397.0070,2452.2870,44058413100,417594145656.0000,0.547081
2013-12-13,sh.000300,2460.0280,2468.9480,2386.2460,2406.6390,29383036700,276745093950.0000,-1.861446
2013-12-20,sh.000300,2408.6780,2412.7340,2278.0960,2278.1360,26638065900,254100235406.0000,-5.339521
2013-12-27,sh.000300,2283.8000,2315.1820,2259.5750,2303.4780,24007149900,230592478638.0000,1.112401
2014-01-03,sh.000300,2313.3800,2333.0740,2280.8870,2290.7790,21002231400,209934849927.0000,-0.551297
2014-01-10,sh.000300,2286.3710,2286.3710,2200.2150,2204.8510,27155869400,255208298000.0000,-3.751038
2014-01-17,sh.000300,2206.9960,2227.2620,2175.8760,2178.4880,25570717100,234774961158.0000,-1.195682
2014-01-24,sh.000300,2173.6510,2257.3550,2156.4580,2245.6780,26902139700,257841439657.0000,3.084249
2014-01-30,sh.000300,2233.0150,2233.2570,2200.2240,2202.4500,21746839700,205177390648.0000,-1.924942
2014-02-07,sh.000300,2187.3430,2212.4980,2177.1170,2212.4830,5045931500,49597106433.0000,0.455538
2014-02-14,sh.000300,2221.5400,2307.4740,2221.5400,2295.5750,42218849200,399245044956.0000,3.755599
2014-02-21,sh.000300,2308.7910,2331.6980,2250.6520,2264.2940,45704249600,425000305328.0000,-1.362665
2014-02-28,sh.000300,2246.7150,2246.7150,2133.5480,2178.9710,42721914000,388351097868.0000,-3.768194
2014-03-07,sh.000300,2173.9070,2194.2240,2136.4540,2168.3580,34983252300,309958058965.0000,-0.487065
